geohome,geowork,likeIrpin,likeVishneve,likeBucha,likeVorzel,likeKocubinske,likeBoyarka,likeBrovary,likeBoryspil,likeVyshgorod,liveSuburb,liveOkolica,isGoodWorkLocation,age,isRented,job,liveHouse,isInvestor,isActivist,isFreeAppartmentImportant,city,isSuburb,region,workLat,workLong,homeLat,homeLong,distance
,,-10,-10,-10,-10,-10,-10,1,-10,-10,2,2,2,28,2,0,2,-1,-1,2,,0,,49.5896,34.5555,49.5882,34.5283,2
,,-2,-2,-2,-2,-10,-2,2,2,1,2,2,-1,38,-2,2,2,2,1,2,,0,kyiv,50.4221,30.5044,50.5171,30.6078,12.9
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,-10,25,-2,3,2,-2,1,-2,,1,kyiv,50.461085,30.339763,50.2740,30.2023,23
,,2,1,2,2,-2,1,1,1,1,2,2,-2,29,-2,1,1,-1,1,1,,0,kyiv,50.4749,30.4914,50.4028,30.6189,12.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,-2,30,-2,3,2,1,2,1,,0,,50.9792,32.6459,50.9792,32.6459,0
,,2,-2,2,2,-2,-2,-2,-2,-2,2,2,-2,27,-2,-1,-1,-10,-10,2,,1,kyiv,50.5533,30.2135,50.5533,30.2135,0
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,2,40,-2,0,-1,-1,-1,-1,,0,kyiv,50.4815,30.4857,50.4815,30.4857,0
,,2,2,-10,-10,-10,-10,-2,-2,-10,2,2,-1,29,2,0,2,2,-1,2,,0,kyiv,50.4247,30.5066,50.4117,30.5276,2.1
,,-2,1,-2,-10,-2,1,1,-2,1,2,-1,2,29,-2,0,2,1,2,-1,,1,kyiv,50.3771,30.3806,50.3771,30.3806,0
,,2,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,2,21,2,3,1,-10,1,1,,0,kyiv,50.4557,30.5112,50.4565,30.3989,8
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-1,2,27,-2,0,1,-2,-2,-2,,0,kyiv,50.4448,30.4507,50.4474,30.4494,0.3
,,1,-2,2,1,1,-2,2,1,2,2,2,1,30,2,-1,1,-10,1,2,,1,kyiv,50.4684,30.3728,50.5531,30.2178,14.5
,,-10,-10,-10,-10,1,-10,-10,-10,-10,1,1,-1,29,2,2,1,1,2,1,,0,kyiv,50.4627,30.4493,50.4550,30.5880,9.9
,,1,2,1,-2,2,-2,1,1,2,2,1,1,25,2,2,2,2,-1,1,,0,kyiv,50.4397,30.4829,50.4237,30.5175,3
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,1,26,2,0,1,-2,-2,1,,0,,49.2205,28.4385,49.2401,28.4912,4.4
,,-2,1,-2,-2,-2,-2,-2,-2,-2,-1,1,-1,26,-2,0,2,-2,-1,-2,,1,kyiv,50.4741,30.4908,50.3715,30.4558,11.7
,,2,1,2,1,1,1,1,1,1,2,2,2,30,2,0,2,1,1,1,,0,kyiv,50.4501,30.4456,50.4481,30.4677,1.6
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-1,1,28,2,2,1,-1,-2,-1,,0,lviv,49.8097,24.0013,49.8324,24.0176,2.8
,,-2,-2,-2,-2,1,-2,-2,-2,1,1,1,1,34,2,1,1,1,1,2,,0,kyiv,50.4438,30.4493,50.4101,30.5486,8
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,1,27,2,0,1,1,1,2,,0,kyiv,50.4206,30.5283,50.3960,30.6311,7.8
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,-2,21,-2,0,2,2,2,2,,0,,49.4308,32.0562,49.4298,32.0845,2.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,-1,1,26,-2,2,1,1,-1,-2,,0,dnipro,48.4638,35.0457,48.4638,35.0457,0
,,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,27,2,2,2,-10,-2,-2,,0,kyiv,50.4540,30.4838,50.4362,30.4108,5.6
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,-1,27,2,0,2,-10,1,1,,,,,,,,
